A-bomb,Атомная бОмба,ˈeɪbɔm
abeyance,врЕменно отменЁнный,əˈbeɪəns
abhor,питАть отвращЕние,əbˈhɔ:
abhorrence,отвращЕние,əbˈhɔrəns
abhorrence,то,əbˈhɔrəns
abhorrent,вызывАющий отвращЕние,əbˈhɔrənt
abhorrent,несовместИмый,əbˈhɔrənt
abidance,соблюдЕние,əˈbaɪdəns
abide,оставАться вЕрным,əˈbaɪd
abide,ждать,əˈbaɪd
abide,выносИть,əˈbaɪd
abiding,постоЯнный,əˈbaɪdɪŋ
ability,лОвкость,əˈbɪlɪtɪ
ability,даровАние,əˈbɪlɪtɪ
abject,жАлкий,ˈæbdʒekt
abject,унИженный,ˈæbdʒekt
abjection,нИзость,æbˈdʒekʃən
abjection,принИженность,æbˈdʒekʃən
abjure,отрекАться,əbˈdʒuə
ablactation,отнЯтие,ˌæbləkˈteɪʃən
ablative,аблятИв,ˈæblətɪv
ablaut,аблЯут,ˈæblaut
ablaze,в огнЕ,əˈbleɪz
ablaze,сверкАющий,əˈbleɪz
ablaze,возбуждЁнный,əˈbleɪz
able,спосОбный,ˈeɪbl
able-bodied,крЕпкий,ˈeɪblˈbɔdɪd
ablet,уклЕйка,ˈæblɪt
abnegate,откАзывать себЕ в,ˈæbnɪgeɪt
abnegate,откАзываться от,ˈæbnɪgeɪt
abnegate,отрицАть,ˈæbnɪgeɪt
abnormal,ненормАльный,æbˈnɔ:məl
abnormality,непрАвильность,ˌæbnɔ:ˈmælɪtɪ
abnormality,урОдство,ˌæbnɔ:ˈmælɪtɪ
abnormality,аномАлия,ˌæbnɔ:ˈmælɪtɪ
abode,жилИще,əˈbəud
abolish,отменЯть,əˈbɔlɪʃ
abolishment,отмЕна,əˈbɔlɪʃmənt
abolitionism,аболиционИзм,ˌæbəuˈlɪʃənɪzm
abominable,отвратИтельный,əˈbɔmɪnəbl
abominate,питАть отвращЕние,əˈbɔmɪneɪt
abomination,отвращЕние,əˌbɔmɪˈneɪʃən
abomination,что,əˌbɔmɪˈneɪʃən
aborigines,тузЕмцы,ˌæbəˈrɪdʒɪni:z
abort,выкИдывать,əˈbɔ:t
abort,потерпЕть неудАчу,əˈbɔ:t
aborted,недонОшенный,əˈbɔ:tɪd
abortion,преждеврЕменное прекращЕние берЕменности,əˈbɔ:ʃən
abortion,урОдец,əˈbɔ:ʃən
abortion,неудАча,əˈbɔ:ʃən
abortive,преждеврЕменный,əˈbɔ:tɪv
abound,быть в большОм колИчестве,əˈbaund
abound,имЕть в большОм колИчестве,əˈbaund
about,менЯть курс,əˈbaut
about-sledge,кувАлда,əˈbautsledʒ
above-board,чЕстный,əˈbʌvˈbɔ:d
above-mentioned,вышеупомЯнутый,əˈbʌvˈmenʃənd
abracadabra,заклинАние,ˌæbrəkəˈdæbrə
abracadabra,абракадАбра,ˌæbrəkəˈdæbrə
abradant,абразИв,əˈbreɪdənt
abrade,стирАть,əˈbreɪd
abrade,сдирАть,əˈbreɪd
abrasion,истирАние,əˈbreɪʒən
abrasion,ссАдина,əˈbreɪʒən
abridge,сокращАть,əˈbrɪdʒ
abridge,огранИчивать,əˈbrɪdʒ
abridge,лишАть,əˈbrɪdʒ
abridgment,сокращЕние,əˈbrɪdʒmənt
abridgemen,сокращЕние,əˈbrɪdʒmənt
abridgment,ограничЕние,əˈbrɪdʒmənt
abridgemen,ограничЕние,əˈbrɪdʒmənt
abridgment,сокращЁнный текст,əˈbrɪdʒmənt
abridgment,издАние,əˈbrɪdʒmənt
abridgemen,сокращЁнный текст,əˈbrɪdʒmənt
abridgemen,издАние,əˈbrɪdʒmənt
abrogate,отменЯть,ˈæbrəugeɪt
abrogation,отмЕна,ˌæbrəuˈgeɪʃən
abrupt,обрЫвистый,əˈbrʌpt
abrupt,рЕзкий,əˈbrʌpt
abrupt,нерОвный,əˈbrʌpt
abruption,разрЫв,əˈbrʌpʃən
abruptness,крутизнА,əˈbrʌptnɪs
abruptness,внезАпность,əˈbrʌptnɪs
abruptness,рЕзкость,əˈbrʌptnɪs
abruptness,нерОвность,əˈbrʌptnɪs
abscess,абсцЕсс,ˈæbsɪs
abscissa,абсцИсса,æbˈsɪsə
abscission,отнЯтие,æbˈsɪʒən
abscond,скрывАться,əbˈskɔnd
absence,недостАток,ˈæbsəns
absent,отлучИться,ˈæbsənt
absent-minded,рассЕянный,ˈæbsəntˈmaɪndɪd
absent-mindedness,рассЕянность,ˈæbsəntˈmaɪndɪdnɪs
absentee,отсУтствующий,ˌæbsənˈti:
absentee,уклонЯющийся,ˌæbsənˈti:
absenteeism,прогУл,ˌæbsənˈti:ɪzm
absentia,быть судИмым заОчно,æbˈsenʃɪə
absinth,абсЕнт,ˈæbsɪnθ
absinthe,абсЕнт,ˈæbsɪnθ
absolute,пОлный,ˈæbsəlu:t
absolute,чИстый,ˈæbsəlu:t
absolute,самовлАстный,ˈæbsəlu:t
absoluteness,безуслОвность,ˈæbsəlu:tnɪs
absoluteness,неогранИченность,ˈæbsəlu:tnɪs
absolution,прощЕние,ˌæbsəˈlu:ʃən
absolutism,абсолютИзм,ˈæbsəlu:tɪzm
absolutist,сторОнник абсолютИзма,ˈæbsəlu:tɪst
absolve,прощАть,əbˈzɔlv
absorb,всАсывать,əbˈsɔ:b
absorb,поглощАть,əbˈsɔ:b
absorb,амортизИровать,əbˈsɔ:b
absorber,поглотИтель,əbˈsɔ:bə
absorber,амортизАтор,əbˈsɔ:bə
absorption,всАсывание,əbˈsɔ:pʃən
absorptive,впИтывающий,əbˈsɔ:ptɪv
absorptivity,поглотИтельная,ˌæbsɔ:pˈtɪvɪtɪ
abstain,воздЕрживаться,əbˈsteɪn
abstainer,непьЮщий,əbˈsteɪnə
abstainer,воздержАвшийся,əbˈsteɪnə
abstemious,бережлИвый,æbˈsti:mjəs
abstention,воздержАние,əbˈstenʃən
abstersion,очищЕние,əbˈstə:ʃən
abstinence,воздержАние,ˈæbstɪnəns
abstinent,умЕренный,ˈæbstɪnənt
abstinent,трЕзвый,ˈæbstɪnənt
abstractedness,абстрАктность,æbˈstræktɪdnɪs
abstractedness,рассЕянность,æbˈstræktɪdnɪs
abstraction,абстрАкция,æbˈstrækʃən
abstraction,рассЕянность,æbˈstrækʃən
abstractive,абстрАктный,æbˈstræktɪv
abstractiveness,абстрАктность,æbˈstræktɪvnɪs
abstruse,глубокомЫсленный,æbˈstru:s
abstruse,трУдный для понимАния,æbˈstru:s
abstruse,скрЫтый,æbˈstru:s
absurd,нелЕпый,əbˈsə:d
absurdity,нелЕпость,əbˈsə:dɪtɪ
abundance,изобИлие,əˈbʌndəns
abundance,мнОжество,əˈbʌndəns
abundant,обИльный,əˈbʌndənt
abusive,оскорбИтельный,əˈbju:sɪv
abut,примыкАть,əˈbʌt
abutment,межА,əˈbʌtmənt
abuzz,гудЯщий,əˈbʌz
abuzz,дЕятельный,əˈbʌz
abysm,бЕздна,əˈbɪzm
abysmal,бездОнный,əˈbɪzməl
abysmal,ужАсный,əˈbɪzməl
abyss,бЕздна,əˈbɪs
abyss,первИчный хАос,əˈbɪs
acacia,акАция,əˈkeɪʃə
academical,университЕтское одеЯние,ˌækəˈdemɪkəl
academician,акадЕмик,əˌkædəˈmɪʃən
academy,акадЕмия,əˈkædəmɪ
academy,специАльное учЕбное заведЕние,əˈkædəmɪ
academy-figure,акт,əˈkædəmɪˌjɪgə
accede,соглашАться,ækˈsi:d
accede,примыкАть,ækˈsi:d
accelerant,катализАтор,əkˈselərənt
accelerate,ускорЯть,əkˈseləreɪt
acceleration,ускорЕние,əkˌseləˈreɪʃən
accentual,относЯщийся к ударЕнию,ækˈsentjuəl
accentuate,дЕлать ударЕние,ækˈsentjueɪt
accentuate,подчЁркивать,ækˈsentjueɪt
accentuate,стАвить ударЕние,ækˈsentjueɪt
accentuation,постанОвка ударЕния,ækˌsentjuˈeɪʃən
accentuation,подчЁркивание,ækˌsentjuˈeɪʃən
accentuation,манЕра произношЕния,ækˌsentjuˈeɪʃən
accept,принимАть,əkˈsept
accept,допускАть,əkˈsept
accept,относИться благосклОнно,əkˈsept
acceptability,приЕмлемость,əkˌseptəˈbɪlɪtɪ
acceptable,приЕмлемый,əkˈseptəbl
acceptable,приЯтный,əkˈseptəbl
acceptance,принЯтие,əkˈseptəns
acceptance,одобрЕние,əkˈseptəns
acceptance,прИнятое значЕние слОва,əkˈseptəns
acceptation,прИнятое значЕние слОва,ˌæksepˈteɪʃən
acceptation,выражЕния,ˌæksepˈteɪʃən
accepter,тот,əkˈseptə
acceptor,акцептАнт,əkˈseptə
access,дОступ,ˈækses
access,прохОд,ˈækses
access,прИступ,ˈækses
accessary,соучАствующий,əkˈsesərɪ
accessary,соучАстник,əkˈsesərɪ
accessibility,достУпность,əkˌsesɪˈbɪlɪtɪ
accessibility,лЁгкость осмОтра,əkˌsesɪˈbɪlɪtɪ
accessibility,ремОнта,əkˌsesɪˈbɪlɪtɪ
accessible,достУпный,əkˈsesəbl
accessible,поддаЮщийся,əkˈsesəbl
accession,вносИть кнИги в каталОг,ækˈseʃən
accessorial,вспомогАтельный,ˌæksaˈsəurɪəl
accidence,элемЕнты,ˈæksɪdəns
accident,несчАстный слУчай,ˈæksɪdənt
accident,слУчай,ˈæksɪdənt
acclamation,шУмное одобрЕние,ˌækləˈmeɪʃən
acclimatization,акклиматизАция,əˌklaɪmətaɪˈzeɪʃən
acclimatize,акклиматизИровать,əˈklaɪmətaɪz
acclivity,подъЁм,əˈklɪvɪtɪ
acclivous,полОгий,əˈklaɪvəs
accolade,акколАда,ækəuleɪd
accommodate,приспосАбливать,əˈkɔmədeɪt
accommodate,снабжАть,əˈkɔmədeɪt
accommodate,давАть пристАнище,əˈkɔmədeɪt
accommodate,окАзывать услУгу,əˈkɔmədeɪt
accommodate,примирЯть,əˈkɔmədeɪt
accommodation,приЮт,əˌkɔməˈdeɪʃən
accommodation,приспособлЕние,əˌkɔməˈdeɪʃən
accommodation,согласовАние,əˌkɔməˈdeɪʃən
accommodation,ссУда,əˌkɔməˈdeɪʃən
accommodation-bill,дрУжеский вЕксель,əˌkɔməˈdeɪʃənbɪl
accommodation-ladder,забОртный трап,əˌkɔməˈdeɪʃənˌlædə
accommodationtrain,мЕстный пассажИрский пОезд со всЕми останОвками,əˌkɔməˈdeɪʃəntreɪn
accompaniment,сопровождЕние,əˈkʌmpənɪmənt
accompanist,аккомпаниАтор,əˈkʌmpənɪst
accompany,сопровождАть,əˈkʌmpənɪ
accomplice,соОбщник,əˈkɔmplɪs
accomplish,совершАть,əˈkɔmplɪʃ
accomplish,дЕлать совершЕнным,əˈkɔmplɪʃ
accomplish,достигАть совершЕнства,əˈkɔmplɪʃ
accomplishment,выполнЕние,əˈkɔmplɪʃmənt
accomplishment,достижЕние,əˈkɔmplɪʃmənt
accomplishment,благоустрОйство,əˈkɔmplɪʃmənt
accordance,соглАсие,əˈkɔ:dəns
accordant,соглАсный,əˈkɔ:dənt
accordant,соотвЕтственный,əˈkɔ:dənt
accordion,аккордеОн,əˈkɔ:djən
accouchement,разрешЕние от брЕмени,əˈku:ʃmɑ:ŋ
accoucheur,акушЁр,ˌæku:ˈʃə:
accoucheuse,акушЕрка,ˌæku:ˈʃə:z
accountability,отвЕтственность,əˌkauntəˈbɪlɪtɪ
accountability,подотчЁтность,əˌkauntəˈbɪlɪtɪ
accountable,отвЕтственный,əˈkauntəbl
accountable,подотчЁтный,əˈkauntəbl
accountable,объяснИмый,əˈkauntəbl
accountancy,бухгАлтерское дЕло,əˈkauntənsɪ
accountant,бухгАлтер,əˈkauntənt
accountant-general,глАвный бухгАлтер,əˈkauntəntˌdʒenərəl
accoutre,одевАть,əˈku:tə
accoutrements,лИчное снаряжЕние,əˈku:təmənts
accredit,уполномОчивать,əˈkredɪt
accredit,припИсывать,əˈkredɪt
accredit,доверЯть,əˈkredɪt
accrete,срОсшийся,əˈkri:t
accretion,разрастАние,æˈkri:ʃən
accretion,срастАние,æˈkri:ʃən
accretion,наращЕние,æˈkri:ʃən
accrue,увелИчиваться,əˈkru:
accrue,выпадАть на дОлю,əˈkru:
accrue,происходИть,əˈkru:
accumulate,аккумулИровать,əˈkju:mjuleɪt
accumulate,скоплЯться,əˈkju:mjuleɪt
accumulation,собирАние,əˌkju:mjuˈleɪʃən
accumulation,скоплЕние,əˌkju:mjuˈleɪʃən
accuracy,тщАтельность,ˈækjurəsɪ
accurate,тОчный,ˈækjurɪt
accurate,тщАтельный,ˈækjurɪt
accurate,мЕткий,ˈækjurɪt
accurate,калибрОванный,ˈækjurɪt
accursed,проклЯтый,əˈkə:sɪd
accursed,ненавИстный,əˈkə:sɪd
accusation,обвинЕние,ˌækju:ˈzeɪʃən
accusatory,обличИтельный,əˈkju:zətərɪ
accuse,обвинЯть,əˈkju:z
accuser,обвинИтель,əˈkju:zə
accustom,приучАть,əˈkʌstəm
ace,очкО,eɪs
ace,глАвный кОзырь,eɪs
ace,сАмый вЕский дОвод,eɪs
acephalous,лишЁнный главЫ,əˈsefələs
acephalous,без пЕрвой строкИ,əˈsefələs
acerbate,озлОбленный,əˈsə:bɪt
acerbity,тЕрпкость,əˈsə:bɪtɪ
acerbity,рЕзкость,əˈsə:bɪtɪ
acetate,соль Уксусной кислотЫ,ˈæsɪtɪt
acetic,Уксусный,əˈsi:tɪk
acetous,Уксусный,ˈæsɪtəs
acetylene,ацетилЕн,əˈsetɪli:n
acheless,безболЕзненный,ˈeɪklɪs
achievable,достижИмый,əˈtʃi:vəbl
achieve,достигАть,əˈtʃi:v
achieve,успЕшно выполнЯть,əˈtʃi:v
achievement,достижЕние,əˈtʃi:vmənt
achievement,выполнЕние,əˈtʃi:vmənt
achievement,пОдвиг,əˈtʃi:vmənt
Achilles,АхиллЕс,əˈkɪli:z
achromatic,ахроматИческий,ˌækrəuˈmætɪk
achromatism,ахроматИзм,əˈkrəumətɪzm
acid-proof,кислотоупОрный,ˈæsɪdpru:f
acidic,кислОтный,əˈsɪdɪk
acidify,подкислЯть,əˈsɪdɪfaɪ
acidify,окислЯть,əˈsɪdɪfaɪ
acidity,кислОтность,əˈsɪdɪtɪ
acidity,Едкость,əˈsɪdɪtɪ
acidize,окислЯть,ˈæsɪdaɪz
acidulated,кисловАтый,əˈsɪdjuleɪtɪd
acidulated,недовОльный,əˈsɪdjuleɪtɪd
acidulous,кисловАтый,əˈsɪdjuləs
ack-ack,зенИтные орУдия,ˈækˈæk
ack-ack,огОнь зенИтной артиллЕрии,ˈækˈæk
acknowledgement,признАние,əkˈnɔlɪdʒmənt
acknowledgement,подтверждЕние,əkˈnɔlɪdʒmənt
acknowledgement,благодАрность,əkˈnɔlɪdʒmənt
acknowledgement,официАльное заявлЕние,əkˈnɔlɪdʒmənt
aclinic,горизонтАльный,əˈklɪnɪk
acme,вЫсшая тОчка,ˈækmɪ
acne,прыщИ,ˈæknɪ
acolyte,служИтель,ˈækəulaɪt
aconite,аконИт,ˈækənaɪt
acorn,жЁлудь,ˈeɪkɔ:n
acoustic,акустИческий,əˈku:stɪk
acoustics,как,əˈku:stɪks
acquaint,знакОмить,əˈkweɪnt
acquaint,сообщАть,əˈkweɪnt
acquaintance,знакОмство,əˈkweɪntəns
acquaintance,знакОмый,əˈkweɪntəns
acquest,приобретЕние,æˈkwest
acquiesce,уступАть,ˌækwɪˈes
acquiescence,устУпки,ˌækwɪˈesns
acquiescent,человЕк,ˌækwɪˈesnt
acquire,приобретАть,əˈkwaɪə
acquirement,приобретЕние,əˈkwaɪəmənt
acquisition,приобретЕние,ˌækwɪˈzɪʃən
acquisition,приобретЕние,ˌækwɪˈzɪʃən
acquisitive,стяжАтельский,əˈkwɪzɪtɪv
acquisitive,восприИмчивый,əˈkwɪzɪtɪv
acquit,опрАвдывать,əˈkwɪt
acquit,вЫполнить,əˈkwɪt
acquittal,освобождЕние,əˈkwɪtl
acquittance,освобождЕние от обязАтельства,əˈkwɪtəns
acre,акр,ˈeɪkə
acreage,плОщадь землИ в Акрах,ˈeɪkərɪdʒ
acrid,рЕзкий,ˈækrɪd
acridity,остротА,æˈkrɪdɪtɪ
acrimonious,жЁлчный,ˌækrɪˈməunjəs
acrimony,жЁлчность,ˈækrɪmənɪ
acrobat,акробАт,ˈækrəbæt
acrobatic,акробатИческий,ˌækrəuˈbætɪk
acrobatics,как,ˌækrəuˈbætɪks
actinia,актИния,ækˈtɪnɪə
actinism,актинИзм,ˈæktɪnɪzm
actinium,актИний,ækˈtɪnɪəm
action,действие,ˈækʃən
action,дЕятельность,ˈækʃən
action,обвинЕние,ˈækʃən
activate,дЕлать радиоактИвным,ˈæktɪveɪt
activity,дЕятельность,ækˈtɪvɪtɪ
activity,актИвность,ækˈtɪvɪtɪ
actor,актЁр,ˈæktə
actress,актрИса,ˈæktrɪs
actual,текУщий,ˈæktʃuəl
actuality,действИтельность,ˌæktʃuˈælɪtɪ
actuality,реалИзм,ˌæktʃuˈælɪtɪ
actualize,реализовАть,ˈæktʃuəlaɪz
actualize,воссоздавАть реалистИчески,ˈæktʃuəlaɪz
actuary,статИстик страховОго Общества,ˈæktjuərɪ
actuate,приводИть в дЕйствие,ˈæktjueɪt
actuate,побуждАть,ˈæktjueɪt
acuity,остротА,əˈkju:ɪtɪ
acuity,Острый харАктер,əˈkju:ɪtɪ
acumen,проницАтельность,əˈkju:men
acuminate,остроконЕчный,əˈkju:mɪnɪt
acute,Острый,əˈkju:t
acute,Острый,əˈkju:t
acute,проницАтельный,əˈkju:t
acute,пронзИтельный,əˈkju:t
ad hoc,специАльный,ˈædˈhɔk
adage,послОвица,ˈædɪdʒ
adagio,адАжио,əˈdɑ:dʒɪəu
Adam&apos;s apple,кадЫк,ˈædəmzˌæpl
adapt,приспосАбливать,əˈdæpt
adapt,передЕлывать,əˈdæpt
adaptability,приспособлЯемость,əˌdæptəˈbɪlɪtɪ
adaptable,легкО приспосАбливаемый,əˈdæptəbl
adaptation,передЕлка,ˌædæpˈteɪʃən
adapter,тот,əˈdæptə
add,прибавлЯть,æd
adder,гадЮка,ˈædə
addict,дурным,ˈædɪkt
addiction,склОнность,əˈdɪkʃən
adding machine,арифмОметр,ˈædɪŋməˌʃi:n
addition,прибавлЕние,əˈdɪʃən
additional,добАвочный,əˈdɪʃənl
additive,присАдка,ˈædɪtɪv
addle-brained,пустоголОвый,ˈædlbreɪnd
addle-brained,помЕшанный,ˈædlbreɪnd
addle-head,пустоголОвый человЕк,ˈædlhed
addled,испОрченный,ˈædld
addlement,пУтаница,ˈædlmənt
addressee,адресАт,ˌædreˈsi:
adduce,представлЯть,əˈdju:s
adduction,приведЕние,əˈdʌkʃən
adductor,аддУктор,əˈdʌktə
adenoids,аденОиды,ˈædɪnɔɪdz
adequacy,соотвЕтствие,ˈædɪkwəsɪ
adequacy,достАточность,ˈædɪkwəsɪ
adequacy,соразмЕрность,ˈædɪkwəsɪ
adequacy,компетЕнтность,ˈædɪkwəsɪ
adequate,соотвЕтствующий,ˈædɪkwɪt
adequate,достАточный,ˈædɪkwɪt
adequate,компетЕнтный,ˈædɪkwɪt
adequation,вырАвнивание,ˌædɪˈkweɪʃən
adequation,эквивалЕнт,ˌædɪˈkweɪʃən
adhere,пр,ədˈhɪə
adhere,пАть,ədˈhɪə
adherence,привЕрженность,ədˈhɪərəns
adhesion,пр,ədˈhi:ʒən
adhesion,пАние,ədˈhi:ʒən
adhesion,соглАсие,ədˈhi:ʒən
adhesive,лИпкий,ədˈhi:sɪv
adhesiveness,клЕйкость,ədˈhi:sɪvnɪs
adiposity,ожирЕние,ˌædɪˈpɔsɪtɪ
adit,вход,ˈædɪt
adit,приближЕние,ˈædɪt
adjacency,сосЕдство,əˈdʒeɪsənsɪ
adjacent,примыкАющий,əˈdʒeɪsənt
adjective,Имя прилагАтельное,ˈædʒɪktɪv
adjoin,примыкАть,əˈdʒɔɪn
adjourn,отсрОчивать,əˈdʒə:n
adjourn,закрывАть,əˈdʒə:n
adjournment,отсрОчка,əˈdʒə:nmənt
adjournment,перерЫв,əˈdʒə:nmənt
adjudge,выносИть приговОр,əˈdʒʌdʒ
adjudgement,судЕбное решЕние,əˈdʒʌdʒmənt
adjudgment,судЕбное решЕние,əˈdʒʌdʒmənt
adjudicate,судИть,əˈdʒu:dɪkeɪt
adjunct,приложЕние,ˈædʒʌŋkt
adjunct professor,адъЮнкт,ˈædʒʌŋktprəˌfesə
adjuration,мольбА,ˌædʒuəˈreɪʃən
adjuration,клЯтва,ˌædʒuəˈreɪʃən
adjure,молИть,əˈdʒuə
adjust,приводИть в порЯдок,əˈdʒʌst
adjust,приспосАбливать,əˈdʒʌst
adjust,регулИровать,əˈdʒʌst
adjustable,регулИруемый,əˈdʒʌstəbl
adjuster,монтАжник,əˈdʒʌstə
adjuster,регулирОвщик,əˈdʒʌstə
adjustment,регулИрование,əˈdʒʌstmənt
adjustment,устанОвка,əˈdʒʌstmənt
adjutancy,звАние,ˈædʒutənsɪ
adjutancy,дОлжность адъютАнта,ˈædʒutənsɪ
adjutant,адъютАнт,ˈædʒutənt
adjutant,подрУчный,ˈædʒutənt
admeasure,отмерЯть,ædˈmeʒə
administer,управлЯть,ədˈmɪnɪstə
administer,снабжАть,ədˈmɪnɪstə
administer,отправлЯть,ədˈmɪnɪstə
administer,назначАть,ədˈmɪnɪstə
administration,управлЕние,ədˌmɪnɪsˈtreɪʃən
administration,администрАция,ədˌmɪnɪsˈtreɪʃən
administration,министЕрство,ədˌmɪnɪsˈtreɪʃən
administration,правИтельство,ədˌmɪnɪsˈtreɪʃən
administration,отправлЕние,ədˌmɪnɪsˈtreɪʃən
administration,назначЕние,ədˌmɪnɪsˈtreɪʃən
administration,приЁм,ədˌmɪnɪsˈtreɪʃən
administrative,исполнИтельный,ədˈmɪnɪstrətɪv
administrator,управлЯющий,ədˈmɪnɪstreɪtə
admirable,замечАтельный,ˈædmərəbl
admiral,флАгманский корАбль,ˈædmərəl
admiralty,адмирАльское звАние,ˈædmərəltɪ
admiration,восхищЕние,ˌædməˈreɪʃən
admiration,предмЕт восхищЕния,ˌædməˈreɪʃən
admire,любовАться,ədˈmaɪə
admirer,поклОнник,ədˈmaɪərə
admissible,допустИмый,ədˈmɪsəbl
admission,дОступ,ədˈmɪʃən
admission,входнАя плАта,ədˈmɪʃən
admission,принЯтие,ədˈmɪʃən
admission,признАние,ədˈmɪʃən
admit,допускАть,ədˈmɪt
admit,впускАть,ədˈmɪt
admit,позволЯть,ədˈmɪt
admit,допускАть,ədˈmɪt
admit,вмещАть,ədˈmɪt
admittance,дОступ,ədˈmɪtəns
admittance,разрешЕние на вход,ədˈmɪtəns
admix,примЕшивать,ədˈmɪks
admixture,прИмесь,ədˈmɪkstʃə
admonish,предостерегАть,ədˈmɔnɪʃ
admonish,убеждАть,ədˈmɔnɪʃ
admonish,дЕлать замечАние,ədˈmɔnɪʃ
admonish,напоминАть,ədˈmɔnɪʃ
admonition,предостережЕние,ˌædməuˈnɪʃən
admonition,увещевАние,ˌædməuˈnɪʃən
admonition,замечАние,ˌædməuˈnɪʃən
admonitory,увещевАющий,ədˈmɔnɪtərɪ
admonitory,предостерегАющий,ədˈmɔnɪtərɪ
ado,суетА,əˈdu:
ado,затруднЕние,əˈdu:
adobe,кирпИч воздУшной сУшки,əˈdəubɪ
adobe,самАнная,əˈdəubɪ
adobe,глинобИтная пострОйка,əˈdəubɪ
adolescence,Юность,ˌædəuˈlesns
Adonis,красАвец,əˈdəunɪs
adopt,усыновлЯть,əˈdɔpt
adopt,принимАть,əˈdɔpt
adopt,усвАивать,əˈdɔpt
adopt,выбирАть,əˈdɔpt
adoptee,усыновлЁнный,ˌædɔpˈti:
adoption,усыновлЕние,əˌdɔpʃən
adoption,принЯтие,əˌdɔpʃən
adoption,вЫбор,əˌdɔpʃən
adoptive,приЁмный,əˈdɔptɪv
adoptive,восприИмчивый,əˈdɔptɪv
adorable,обожАемый,əˈdɔ:rəbl
adoration,обожАние,ˌædɔ:ˈreɪʃən
adore,обожАть,əˈdɔ:
adorer,поклОнник,əˈdɔ:rə
adorn,украшАть,əˈdɔ:n
adornment,украшЕние,əˈdɔ:nmənt
adrenalin,адреналИн,əˈdrenəlɪn
adrift,вЫгнать Из дому,əˈdrɪft
adrift,увОлить со слУжбы,əˈdrɪft
adroit,лОвкий,əˈdrɔɪt
adroitness,лОвкость,əˈdrɔɪtnɪs
adsorbent,адсорбЕнт,ædˈsɔ:bənt
adsorption,адсОрбция,ædˈsɔ:pʃən
adulation,низкопоклОнство,ˌædjuˈleɪʃən
adulatory,льстИвый,ˈædjuleɪtərɪ
adulterant,прИмесь,əˈdʌltərənt
adulteration,фальсификАция,əˌdʌltəˈreɪʃən
adulterer,нарушАющий супрУжескую вЕрность,əˈdʌltərə
adulteress,нарушАющая супрУжескую вЕрность,əˈdʌltərɪs
adultery,адюльтЕр,əˈdʌltərɪ
adumbrate,бЕгло набросАть,ˈædʌmbreɪt
adumbrate,предвещАть,ˈædʌmbreɪt
adumbrate,затемнЯть,ˈædʌmbreɪt
adust,вЫжженный,əˈdʌst
adust,загорЕлый,əˈdʌst
advance-guard,авангАрд,ədˈvɑ:nsgɑ:d
advancement,успЕх,ədˈvɑ:nsmənt
advantage,помогАть,ədˈvɑ:ntɪdʒ
advantageous,благоприЯтный,ˌædvənˈteɪdʒəs
advent,прихОд,ˈædvənt
adventitious,случАйный,ˌædvenˈtɪʃəs
